declaration_id,company_id,category,quantity_kg,condition,description,declared_at,expiry_days
06b50e24-b555-42f3-8ff3-3ead53146b33,c7abc1e1-41ac-4ee7-a0df-d2fcbf28bdd9,electromenager,1515.32,usage,Mixeur plongeant haute puissance,2026-01-02 00:52:01.622154,13
3b6e5eaa-e37f-406f-b17c-8d5454c89640,9b7ccdfb-a76a-460b-84ae-099661613f24,hygiene,1102.95,bon_etat,Shampoing usage fréquent,2025-12-06 00:32:35.549901,69
e6581831-cede-4656-bc32-2d80879c2960,ce6bda4f-aef0-4d16-a36e-6ece3c862e3d,textile,1946.56,usage,Pantalons en denim,2026-01-17 12:12:50.315770,27
a04372e4-76f5-4967-880e-6a935f269acc,d9eddab1-e10b-4c70-8dfe-693e5d10f45f,electromenager,37.21,bon_etat,Machine à café espresso,2026-02-15 09:01:27.164463,35
1ad05d9f-683d-463f-9bc5-4075851996b9,7c60fc91-337a-47f4-92d4-7c3055258bdf,textile,1894.65,usage,Pantalons en denim,2026-03-09 17:18:59.533962,70
6ac0ab3b-d5ad-47c2-b890-994973a69fe2,dfa2159d-4453-449c-ac54-d59321e388c0,mobilier,1022.66,bon_etat,Lampadaire design moderne,2025-09-27 14:32:33.368519,68
d85e1250-195e-4c1d-8385-4b80226c339e,aec77c05-02d4-485e-a368-ef4934f2666f,bricolage,919.01,neuf,Niveau à bulle magnétique,2026-02-10 18:27:49.687431,31
aeb7f58a-3be5-42a9-b331-44d0d267cbf4,4b23f694-0e34-45ed-9a84-9841561fb93f,jouets,1495.12,neuf,Puzzle 1000 pièces paysages,2025-10-18 16:55:59.060797,42
53ad11d5-eac5-4c1f-97d9-08ed47a7cc1a,648986f7-7b1c-4913-82e7-3e9eae3f3bd0,bricolage,1869.15,usage,Marteau de menuisier,2025-11-13 16:14:23.294543,7
0a3b8825-e0f0-45fa-b4b4-9db2eca61a57,586c99fc-9714-4dc0-a20a-43931c137233,electromenager,604.13,usage,Aspirateur balai sans fil,2025-04-16 04:24:22.901316,69
e2eff2bd-b74f-4a95-97fa-856b7cfc9695,01429819-dcd5-42b6-97e6-6d9a41b3b454,hygiene,1081.78,bon_etat,Savon liquide mains,2025-08-20 01:39:35.018424,77
6aef69db-51f9-4cc8-a475-86a0f085fea0,c9fe8d4d-6412-4943-bc21-4d9f5aeaa400,jouets,916.14,bon_etat,Voiture télécommandée tout-terrain,2026-01-27 03:09:14.379758,37
fe37096a-46d7-48a7-a205-025751250b5e,c9fe8d4d-6412-4943-bc21-4d9f5aeaa400,jouets,474.79,bon_etat,Puzzle 1000 pièces paysages,2025-05-21 21:32:09.913221,47
97974e30-9c23-491e-a79b-914455654c6b,be0e4fb6-08ec-4566-ac39-83557807c0a9,mobilier,1413.4,bon_etat,Lampadaire design moderne,2025-06-19 13:00:39.117085,90
15ef8c2a-8c5b-4546-b5a3-d70a6ee260bc,c62f0ca0-25e6-403a-a5bc-c0bf0dc892b5,hygiene,1930.0,neuf,Lotion corporelle apaisante,2025-07-14 02:02:16.689576,82
53e0964c-25de-4059-bf28-1666f62249d3,586d2e37-16dc-4fbc-9956-2ba3ea6b526a,electromenager,1749.64,bon_etat,Machine à café espresso,2025-08-29 14:19:41.558923,74
5efcc27f-1d03-47e4-bc19-b87807214fc0,45d98602-5488-4ae0-ad22-b513e51825e8,bricolage,1447.66,bon_etat,Coffret de douilles,2025-07-17 18:59:30.695422,26
14947fdc-7ab9-4403-be2f-6eb856345ff7,be0e4fb6-08ec-4566-ac39-83557807c0a9,textile,1565.24,bon_etat,Vestes d'hiver imperméables,2026-01-31 19:15:21.813306,86
355e1843-c125-46de-aa63-9b9793961962,7939133f-d82c-4d23-ba77-42a6af7022cb,mobilier,1303.17,bon_etat,Commode 3 tiroirs,2025-06-26 03:40:25.559967,75
cab67abd-1d77-436d-9894-7bc6010610f7,e64c23d7-c560-4927-97ab-13395a580f9c,bricolage,1257.33,bon_etat,Scie circulaire compacte,2026-02-26 22:34:12.292552,11
7bbed418-fa66-4426-b70e-92845617b046,bfe98f70-95be-4944-b662-534a2c6028c7,jouets,477.19,usage,Poupée articulée avec accessoires,2025-08-17 11:52:44.944911,36
55d266f2-feaf-4480-8d86-3b10361949cd,7472fd5e-1c35-410e-84bb-eb2ed92de9ba,mobilier,873.6,neuf,Commode 3 tiroirs,2026-01-15 11:10:18.325400,19
864a60d9-5aed-400e-b89e-887e2f062f3e,7a50b169-11ef-4756-88ce-333b77d1cf58,bricolage,1391.06,neuf,Perceuse sans fil 18V,2025-09-04 07:08:23.669370,48
9fa39fef-a09a-48b2-a9e8-0ca00c595a17,dfa2159d-4453-449c-ac54-d59321e388c0,textile,723.34,bon_etat,Pantalons en denim,2025-12-15 02:18:35.864587,38
b7391a7b-4663-423a-9935-ee965c0626b1,060d5295-74e3-4084-8ac0-324f653475cd,jouets,1136.2,neuf,Voiture télécommandée tout-terrain,2025-04-04 13:06:46.788732,29
42d704c0-9a35-4d6b-ab86-8dce538077d7,c7abc1e1-41ac-4ee7-a0df-d2fcbf28bdd9,textile,1742.97,usage,Chemises formelles,2026-02-27 04:50:33.425698,37
c20400aa-a05e-42ed-b90b-362541586ef6,cd273784-7407-4954-bdbb-1b8582bd2f06,bricolage,294.8,bon_etat,Coffret de douilles,2025-06-06 10:01:14.688966,39
fe4af60e-3724-4d14-a4b8-f73c4d36499b,38ead041-61a3-4dab-9f85-3af2e19247f9,bricolage,1337.01,bon_etat,Marteau de menuisier,2025-04-10 14:02:06.801128,76
cda3be38-8a4a-4c84-8655-7d4f4e277e08,bfe98f70-95be-4944-b662-534a2c6028c7,hygiene,889.04,bon_etat,Lotion corporelle apaisante,2026-03-01 03:52:44.043415,45
4db89bcd-1e9e-4b20-a9fe-8382c34c796a,6c44c424-74fa-485f-841f-50e3488359f6,mobilier,1383.72,bon_etat,Étagère modulable 5 niveaux,2025-03-31 05:26:10.418226,32
80cc8ebb-90b4-4f38-b707-546dd9ff886f,be0e4fb6-08ec-4566-ac39-83557807c0a9,bricolage,222.24,bon_etat,Scie circulaire compacte,2025-03-27 20:32:40.482759,52
d5c123f6-ff80-4188-959b-47d8024bb673,dfa2159d-4453-449c-ac54-d59321e388c0,jouets,1985.46,bon_etat,Puzzle 1000 pièces paysages,2025-06-14 20:10:08.933106,57
d7f80a4b-ce3c-43ae-beb7-841af804db3a,45d98602-5488-4ae0-ad22-b513e51825e8,electromenager,1136.2,usage,Micro-ondes 20L,2026-01-17 01:01:18.145788,13
5d711f0f-4931-44a6-bdd3-cd6bcf1aad9d,0980f66f-54b4-4f89-a866-d08ebf5654dd,jouets,998.49,bon_etat,Voiture télécommandée tout-terrain,2025-10-29 11:01:20.282276,84
c14d419a-f7f9-434b-82a8-03995db3b64e,4e7d5037-e72f-44f0-8aea-b62bbf9ba177,electromenager,1276.87,usage,Grille-pain 2 fentes,2025-06-11 15:34:14.755324,24
408b3f07-508f-4e8c-a557-b9b56f8f9703,586d2e37-16dc-4fbc-9956-2ba3ea6b526a,mobilier,1807.77,usage,Chaise de bureau ergonomique,2025-09-05 11:39:56.380157,46
b666138a-a159-4cdf-af15-457e08e02f44,f7287489-92ef-49db-8116-f5ec9f55b717,bricolage,1163.35,usage,Jeu de tournevis précision,2025-04-27 07:15:12.552058,18
